matchday,date,home_team,away_team,home_score,away_score,season
1,2026-08-08,FCSM,Saint-Etienne,0,3,2026
2,2026-08-14,Red Star,FCSM,0,0,2026
3,2026-08-21,FCSM,Guingamp,1,0,2026
4,2026-08-28,Clermont,FCSM,0,0,2026
5,2026-09-04,Pau,FCSM,1,1,2026
6,2026-09-12,FCSM,Nantes,1,0,2026
7,2026-09-18,Laval,FCSM,,,2026
8,2026-10-09,FCSM,Boulogne,,,2026
9,2026-10-17,Metz,FCSM,,,2026
10,2026-10-23,FCSM,Annecy,,,2026
11,2026-10-30,Reims,FCSM,,,2026
12,2026-11-06,Nancy,FCSM,,,2026
13,2026-11-20,FCSM,Dunkerque,,,2026
14,2026-12-04,Dijon,FCSM,,,2026
15,2026-12-11,FCSM,Montpellier,,,2026
16,2027-01-02,Grenoble,FCSM,,,2026
17,2027-01-15,FCSM,Rodez,,,2026
18,2027-01-22,Boulogne,FCSM,,,2026
19,2027-01-29,FCSM,Reims,,,2026
20,2027-02-05,FCSM,Pau,,,2026
21,2027-02-12,Annecy,FCSM,,,2026
22,2027-02-19,FCSM,Dijon,,,2026
23,2027-02-26,Saint-Etienne,FCSM,,,2026
24,2027-03-05,FCSM,Metz,,,2026
25,2027-03-12,Rodez,FCSM,,,2026
26,2027-03-19,FCSM,Nancy,,,2026
27,2027-04-02,Nantes,FCSM,,,2026
28,2027-04-09,FCSM,Red Star,,,2026
29,2027-04-16,Montpellier,FCSM,,,2026
30,2027-04-23,FCSM,Laval,,,2026
31,2027-04-30,Dunkerque,FCSM,,,2026
32,2027-05-07,FCSM,Clermont,,,2026
33,2027-05-14,Guingamp,FCSM,,,2026
34,2027-05-22,FCSM,Grenoble,,,2026
