matchday,date,home_team,away_team,home_score,away_score,season
1,2025-08-08,Le Puy,FCSM,0,1,2025
2,2025-08-15,FCSM,Orléans,5,0,2025
3,2025-08-22,Rouen,FCSM,3,1,2025
4,2025-08-29,FCSM,Stade Briochin,2,0,2025
5,2025-09-05,Paris 13 Atletico,FCSM,1,3,2025
6,2025-09-12,FCSM,Caen,1,1,2025
7,2025-09-19,Villefranche,FCSM,1,0,2025
8,2025-09-26,FCSM,Ajaccio,,,2025
9,2025-10-03,Concarneau,FCSM,1,0,2025
10,2025-10-17,FCSM,Aubagne,2,0,2025
11,2025-10-21,QRM,FCSM,1,1,2025
12,2025-10-31,FCSM,Versailles,2,0,2025
13,2025-11-07,Fleury,FCSM,0,0,2025
14,2025-11-21,FCSM,Dijon,0,1,2025
15,2025-12-05,Bourg-Péronnas,FCSM,1,3,2025
16,2025-12-12,Valenciennes,FCSM,0,3,2025
17,2026-01-16,FCSM,Châteauroux,1,0,2025
18,2026-01-23,Orléans,FCSM,1,2,2025
19,2026-01-30,FCSM,Rouen,1,1,2025
20,2026-02-06,Stade Briochin,FCSM,1,1,2025
21,2026-02-13,FCSM,Paris 13 Atletico,1,1,2025
22,2026-02-20,Caen,FCSM,1,3,2025
23,2026-02-27,FCSM,Villefranche,2,1,2025
24,2026-03-06,Exempt,FCSM,,,2025
25,2026-03-13,FCSM,Concarneau,2,0,2025
26,2026-03-20,Aubagne,FCSM,1,4,2025
27,2026-03-27,FCSM,QRM,2,0,2025
28,2026-04-03,Versailles,FCSM,1,0,2025
29,2026-04-10,FCSM,Fleury,2,2,2025
30,2026-04-17,FCSM,Châteauroux,1,2,2025
31,2026-04-24,FCSM,FBBP,2,1,2025
